IdArtista;NomArtista;Biografía
1;Antonio Martinez Ares;Autor y compositor español, destacado en el Carnaval de Cádiz como autor de comparsas icónicas. Ha recibido numerosos premios por su creatividad y compromiso con la tradición gaditana.
2;Andrés Morales Troncoso;"Dueto musical gaditano de pop y flamenco, famoso por su estilo cercano al flamenco-pop. Han lanzado varios álbumes exitosos, entre ellos ""Andy y Lucas"" (2003), con temas que se convirtieron en grandes éxitos."
3;Lucas González Gómez;"Dueto musical gaditano de pop y flamenco, famoso por su estilo cercano al flamenco-pop. Han lanzado varios álbumes exitosos, entre ellos ""Andy y Lucas"" (2003), con temas que se convirtieron en grandes éxitos."
4;Omar Ismael Montes Moreno;"Es un cantante español de música urbana y reguetón, famoso por su éxito en temas como ""Alocao"". Ganó popularidad tras participar en reality shows."
5;Juan Morales Martinez;Monologuista español que se ha destacado por su humor en el escenario. Ha participado en festivales de comedia y programas de televisión, siendo un referente del humor en vivo.
6;Natalia Millán;"Actriz y cantante española, destacada en teatro musical en obras como ""Cabaret"" y en televisión por series como ""El Internado""."
7;Carlos Hipólito;"Actor español de teatro, cine y televisión. Reconocido por doblar la voz adulta de Carlos en ""Cuéntame cómo pasó"" y su carrera en el teatro clásico."
8;Jesús Lagos;Profesional en el campo de Big Data y el fútbol, conocido por su trabajo en el análisis de datos deportivos. Ha aportado a la optimización de estrategias en equipos de fútbol mediante el uso de tecnologías avanzadas de análisis de datos.
9;Victoria Francés;"Ilustradora y escritora española, famosa por sus obras góticas y fantásticas, como la trilogía ""Favole"". Su estilo combina romanticismo y oscuridad."
10;Sally Rooney;"Escritora irlandesa, autora de ""Normal People"" y ""Conversations with Friends"", que la consagraron como una voz clave de la narrativa contemporánea."
11;Manuel Morera;Humorista y carnavalero gaditano, conocido por su ingenio en el Carnaval de Cádiz y por destacar en cuartetos.
12;Carlos Meni;Humorista y guionista español, parte de la escena del Carnaval de Cádiz, reconocido por su estilo cómico.
13;Benito Antonio Martínez Ocasio;"Conocido como Bad Bunny, es un cantante puertorriqueño de trap y reguetón, una figura clave en la música latina actual, con éxitos como ""Yonaguni""."
