IdEvento;NomEvento;Fecha;Hora;PrecioEvento;Descripcion;CodActividad;CodUbicacion
1;Final del Concurso Oficial de Agrupaciones Carnavalescas;2025-02-24;22:00:00;30;Celebra la pasión del carnaval con las mejores agrupaciones de Cádiz. Música, sátira y creatividad en una noche inolvidable.;1;1
2;Big Data Conference Europe 2024;2024-09-16;16:00:00;10;Evento clave en tecnología y análisis de datos, con expertos internacionales, innovaciones y talleres para transformar negocios.;6;2
3;Cabo de Plata 2025;2025-07-05;0:00:00;50;Festival único, fusionando música urbana, flamenco y electrónica en la costa de Barbate.;10;3
4;Puro Latino 2025;2025-08-20;19:00:00;60;Festival líder en música latina con artistas top y un ambiente festivo.;4;4
5;Exposición de arte;2024-04-25;12:00:00;10;Sumérgete en el arte gótico con obras cargadas de misticismo, drama y detalles históricos en una muestra impresionante.;7;5
6;Feria del Libro 2024;2024-06-16;17:00:00;5;Encuentro literario anual con escritores, presentaciones de libros y actividades culturales para los amantes de la lectura.;8;6
7;Concert Music Festival;2024-12-08;21:30:00;15;Festival con artistas internacionales en un entorno privilegiado. Música de todos los estilos para un verano inolvidable.;5;7
8;Concurso de monólogos;2024-12-15;21:00:00;10;Ofrece una experiencia humorística llena de frescura, ingenio y una fuerte interacción con el público;2;8
9;Gran estreno de Me Reí León;2024-05-23;20:30:00;8;Espectáculo de comedia lleno de humor inteligente y risas aseguradas. Perfecto para disfrutar y desconectar.;9;9
10;Presentación de Billy Elliot: El musical;2024-11-19;21:00:00;25;Musical emocionante que combina danza, música y una historia inspiradora sobre perseverancia y sueños cumplidos.;3;10
